Date,Total Index,Energy,Non-energy **,Agriculture **,Beverages,Food **,Oils & Meals,Grains,Other Food **,Raw Materials,Timber,Other Raw Mat.,Fertilizers **,Metals  & Minerals,Base Metals (ex. iron ore),Precious Metals
01/01/2012,125.7943744,134.1135286,108.7578495,111.1337946,98.70609623,115.9610544,113.56299,129.3953818,106.9559199,105.7249142,111.3294637,99.59588627,138.5577627,100.5024751,101.5122492,136.9107157
01/02/2012,132.4311381,142.7871437,111.3425196,113.3714122,97.00466445,119.0702234,117.0478359,130.9624938,110.9666356,107.8479766,111.058334,104.3371912,139.3266597,104.0050076,105.8066668,146.2771876
01/03/2012,136.0434204,147.8834035,111.8679176,114.5412248,92.19391692,122.5429938,122.5802659,132.7921298,113.2170038,106.4636103,109.7714395,102.8462317,136.9057407,103.5432676,104.5586829,140.7825295
01/04/2012,132.355686,142.4280117,111.8078554,114.7463348,91.30368994,123.1473979,129.1736773,129.6610852,109.3234249,106.2555685,110.4100513,101.7123056,154.3370378,100.9538665,100.8924342,137.6004432
01/05/2012,124.7266808,132.2791709,109.4859904,112.8982728,92.5190591,120.5799446,125.2420311,131.7116776,104.3706952,104.5976151,111.0789863,97.5097117,161.1036607,96.62863982,97.31959812,130.9088132
01/06/2012,112.6648997,115.9667704,106.0720629,110.5297073,88.69010563,119.9225329,122.189621,132.5215305,105.5360434,98.81427164,108.0113556,88.75651665,152.7535049,91.63118126,91.47120115,130.780142
01/07/2012,119.7133959,124.5594494,109.8349654,118.4412384,94.1926375,132.1164261,135.0921802,153.584403,108.7699064,97.54645935,107.1530632,87.0408612,118.637756,91.18570053,91.99311793,129.941105
01/08/2012,126.7580482,135.3788678,109.2593216,118.0714628,93.70902267,132.3600922,137.6701974,153.68926,106.068155,95.74417281,106.8403587,83.60959626,140.4088607,87.65118551,90.89445581,133.5704136
01/09/2012,127.2585087,135.2145649,111.1726386,118.113349,95.46417618,131.0755761,136.6532964,151.1958387,105.5258005,98.1374736,108.7110768,86.57438358,140.6771951,93.58922248,99.4925712,145.7073054
01/10/2012,125.8556467,134.1505104,109.0414095,114.9385572,91.951589,126.4586059,125.1348569,151.4349575,105.5929015,98.63831045,108.0202765,88.37837193,134.990423,94.00176961,97.69336858,145.4489685
01/11/2012,124.0252649,132.3335005,107.1196779,112.5570043,88.86491711,123.8313726,119.6352772,151.8601217,103.9816493,97.21219419,107.9380547,85.48259844,138.4240248,92.41514908,94.7179673,143.3545629
01/12/2012,124.4518208,132.3747372,108.3600741,112.1288723,87.01777123,122.746803,120.1681624,147.249823,103.9604611,99.1004626,108.9865878,88.2891853,136.6175197,97.42328329,99.58966854,140.179889
01/01/2013,126.863724,135.9319815,108.4836883,111.1895324,86.17019418,121.2533467,118.4490715,144.7970791,103.632143,99.46072466,106.4883305,91.77546942,131.8173776,100.2857536,99.6146682,138.7114874
01/02/2013,129.4031149,139.7924005,108.2240677,110.0206435,83.89454217,120.7614702,118.8778053,142.8549061,103.241845,97.20975939,102.7973697,91.09925567,136.4050222,101.3406573,100.2537384,135.2831468
01/03/2013,123.5199082,132.5368832,105.1799803,109.006565,83.53636843,120.0246479,115.2678065,143.0186483,105.4698171,95.18855319,100.4108008,89.47760317,129.7142914,94.54730708,94.23489999,131.4615333
01/04/2013,118.4475036,126.6093747,102.0584229,106.7360868,84.58630496,116.4309177,111.9737306,136.0923178,104.4983501,94.44463051,100.8131625,87.48012578,117.3172008,90.73323215,89.92929552,121.3667105
01/05/2013,118.0867192,126.3016417,101.746373,107.082225,84.75591987,116.72917,109.6237833,140.0224688,104.9931642,94.99686963,99.93242029,89.59944588,123.6637102,88.31550853,89.08211538,114.4643254
01/06/2013,117.2930378,125.7145022,100.5080428,107.0975711,80.65428598,117.5525747,112.7916353,138.7161299,104.6599535,95.14239465,101.8708256,87.78431133,114.4471017,85.411745,86.96865858,108.0711256
01/07/2013,119.606795,129.8863143,98.89500817,104.7111722,81.5066977,114.4208729,111.3458045,132.2607595,102.3187313,92.91988077,99.74323696,85.45798903,110.3313765,85.66884144,85.3131313,103.0249856
01/08/2013,121.6952983,133.0424205,98.67519693,102.6087728,82.5255364,110.2882911,109.2748335,120.8392582,102.0714348,94.16284782,101.7825526,85.83008448,107.2257787,89.63748055,88.63235935,109.4756316
01/09/2013,121.9610424,133.7732225,98.0205173,102.6038991,82.60372274,109.8464467,115.1972545,111.4633264,101.3434417,95.17738853,103.2895326,86.30610305,102.1392251,88.15323761,87.26036282,109.8254788
01/10/2013,120.7057636,131.745193,98.34124785,102.8617924,83.0552367,110.0806295,115.3046886,111.8634134,101.5942072,95.39443533,104.708515,85.20873607,98.31309926,89.0735633,88.65168556,107.0956374
01/11/2013,119.4933233,130.3483034,97.4755679,102.0574991,81.50600394,109.1625589,116.9082545,109.1690609,98.96647785,95.24535958,104.2762667,85.36933247,99.7491109,87.82071529,86.50979837,103.4335123
01/12/2013,122.1643013,134.153381,97.90426992,102.2004987,84.77970882,108.5667582,117.0637045,107.9368084,97.95841685,95.59141551,104.8219571,85.49707185,101.249743,88.71366599,87.69532017,98.82844558
01/01/2014,119.9301834,131.2182107,97.06008526,100.96464,85.80420258,106.5226701,113.5008663,106.358009,97.49123446,95.16985389,105.2166543,84.18286529,105.6652645,88.07568878,88.13162782,100.5995816
